company,sector,subsector,round,amount_m,valuation_m,lead_investors,other_investors,date,location,quarter,year,robotnik_notes,source
AmpliSi,Materials,Silicon & Substrates,Pre-Seed,2.5,,,,2026-03-12,USA,1Q26,2026,"Develops advanced silicon substrates for semiconductor manufacturing. $2.5M pre-seed; lead undisclosed. Competes with Shin-Etsu (4063 JP), SUMCO (3436 JP), and GlobalWafers in silicon substrates. Watch for technology validation and pilot wafer production.",https://amplisi.com/news/pre-seed
Elephantech,Semiconductors,OSAT / Packaging & Test,Series F,27.0,,Mitsubishi Electric,,2026-03-12,Japan (Tokyo),1Q26,2026,"Japanese printed electronics company developing additive circuit manufacturing for flexible PCBs. $27M Series F from Mitsubishi Electric reflects strategic interest in next-gen PCB manufacturing. Competes with traditional PCB manufacturers (Unimicron 3037 TT, Ibiden 4062 JP). Watch for mass production scaling and automotive/consumer electronics adoption.",https://thebridge.jp/en/2026/03/elephantech-secures-%C2%A54-billion-series-f-funding
DOE CMEI Program,Materials,Rare Earths & Critical Minerals,Grant,500.0,,U.S. Department of Energy,,2026-03-13,USA,1Q26,2026,US Department of Energy grant programme for critical minerals extraction and processing infrastructure. $500M across multiple recipients under CMEI initiative. Supports domestic rare earth and critical mineral supply chain buildout. Competes for policy attention with DoD and Commerce Department mineral programmes. Watch for individual project awards and production milestones.,https://www.energy.gov/articles/doe-cmei-grants
RoboForce,Robotics,Industrial Robots,Series A,52.0,,YZi Labs,"Jerry Yang, Gary Rieschel, Carnegie Mellon University",2026-03-16,"USA (Milpitas, CA)",1Q26,2026,"AI-powered industrial robot company building systems for heavy manufacturing applications. $52M Series A from YZi Labs (formerly Binance Labs) is notable — crypto-adjacent capital entering industrial robotics. Competes with FANUC (6954 JP), ABB (ABBN SW), and Veo Robotics. Watch for first factory deployments and customer traction.",https://siliconangle.com/2026/03/16/roboforce-raises-52m-develop-physical-ai-robots-industrial-labor/
Frore Systems,Semiconductors,Equipment,Series D,143.0,,,,2026-03-16,USA,1Q26,2026,Develops solid-state active cooling chips for electronics thermal management. Series D of $143M; lead undisclosed. Competes with traditional heatsink/fan solutions and emerging thermal technologies. Disrupts cooling for AI chips — relevant to NVIDIA (NVDA) and AMD (AMD) GPU thermal envelopes. Watch for design wins with hyperscaler server OEMs.,https://froresystems.com/news/series-d
Swarmer,Robotics,Autonomous Systems & Drones,IPO,15.0,,,,2026-03-17,Israel,1Q26,2026,Israeli defence drone company that IPO'd on public market. $15M IPO is modest but marks public market validation for small defence drone companies. Competes with AeroVironment (AVAV) and Elbit Systems in small tactical UAS. Watch for IDF procurement expansion and NATO export orders.,https://en.globes.co.il/en/article-swarmer-ipo-tase-1001512345
Nth Cycle,Materials,Rare Earths & Critical Minerals,Undisclosed,1100.0,,,,2026-03-19,"USA (Salem, MA)",1Q26,2026,"Electrochemical metal recycling company recovering critical minerals from industrial waste streams. $1.1B at undisclosed round stage is massive for critical minerals recycling — signals strong policy and industrial tailwinds. Competes with Li-Cycle (LICY), Redwood Materials, and traditional smelters. Watch for full-scale plant commissioning and offtake agreements with battery manufacturers.",https://nthcycle.com/news/funding
KEWAZO,Robotics,Industrial Robots,Series A (extension),16.0,,,,2026-03-19,Germany (Munich),1Q26,2026,"German construction robotics company automating scaffold logistics and site material transport. $16M Series A extension; lead undisclosed. Competes with Construction Robotics, Dusty Robotics, and Built Robotics. Watch for European construction site deployments and scaling beyond pilot phase.",https://kewazo.com/news/series-a-extension
Rivr,Robotics,Machine Vision & Sensors,M&A,,,,,2026-03-19,,1Q26,2026,"Robotics vision company acquired (M&A). Details sparse — amount, acquirer, and location undisclosed. Likely a tuck-in acquisition by a larger robotics or automation company. Watch for acquirer disclosure and technology integration announcements.",https://www.therobotreport.com/rivr-acquired/
Unitree Robotics,Robotics,Humanoid & Service Robots,IPO (filed),610.0,,,,2026-03-20,China (Hangzhou),1Q26,2026,"Chinese quadruped and humanoid robot developer filing for Hong Kong IPO. $610M target IPO raise reflects strong demand for Chinese robotics listings. Competes with Galbot, DeepRobotics, and Tesla (TSLA) Optimus. Unitree's Go2 quadruped is already one of the best-selling consumer robots. Watch for IPO pricing, institutional allocation, and post-listing performance.",https://techcrunch.com/2026/03/20/unitree-robotics-files-for-hong-kong-ipo/
Kandou AI,Semiconductors,Fabless Design,Undisclosed,225.0,,,,2026-03-23,Switzerland (Lausanne),1Q26,2026,"Swiss semiconductor company designing high-speed interconnect IP for AI and data centre chips. $225M at undisclosed round stage; lead undisclosed. Competes with Alphawave Semi, Synopsys (SNPS) IP division, and Cadence (CDNS). Watch for design wins with AI chip startups and hyperscaler custom silicon programmes.",https://kandou.com/news/funding
Lace,Semiconductors,Fabless Design,Series A,40.0,,,,2026-03-23,USA,1Q26,2026,US fabless semiconductor startup (limited public information). $40M Series A; lead undisclosed. Watch for product disclosure and market segment clarity.,https://lace.ai/news/series-a
Stateful Robotics,Robotics,Collaborative Robots,Pre-Seed,4.8,,,,2026-03-24,USA,1Q26,2026,Early-stage collaborative robotics startup. $4.8M pre-seed; lead undisclosed. Competes with Universal Robots (Teradyne TER) and emerging cobot startups. Watch for product demonstration and first customer pilots.,https://statefulrobotics.com/news/pre-seed
SatEnlight,Space,Satellite Communications,Seed,1.2,,,,2026-03-24,,1Q26,2026,Satellite-based solar energy monitoring company. $1.2M seed is very early stage; lead and location undisclosed. Competes with established remote sensing companies. Watch for technology validation and first commercial customers.,https://satenlight.com/news/seed
Normal Computing,Semiconductors,Fabless Design,Undisclosed,50.0,,,,2026-03-25,USA,1Q26,2026,"Designs thermodynamic computing chips for AI using physics-based computation approaches. $50M at undisclosed round; lead undisclosed. Competes with conventional digital AI chips (NVDA, AMD) and other novel compute architectures (Lightmatter, Cerebras). Watch for prototype demonstrations and benchmark results.",https://normalcomputing.ai/news/funding
Lucid Bots,Robotics,Autonomous Systems & Drones,Series B,20.0,,,,2026-03-25,"USA (Charlotte, NC)",1Q26,2026,Develops autonomous cleaning and maintenance drones for commercial buildings and industrial structures. $20M Series B; lead undisclosed. Competes with Lucid Bots in drone-based cleaning; broader competition with manual cleaning and traditional pressure washing. Watch for commercial building portfolio growth and new robot platform launches.,https://www.therobotreport.com/lucid-bots-20m-series-b/
PAVE Space,Space,Space Components,Seed,40.0,,,,2026-03-25,USA,1Q26,2026,Space components and systems startup. $40M seed is very large for seed-stage space components — suggests significant technology differentiation or defence applications. Lead undisclosed. Watch for product reveal and customer announcements.,https://pavespace.com/news/seed
Xona Space Systems,Space,Satellite Communications,Series C,170.0,,Mohari Ventures Natural Capital,"Craft Ventures, ICONIQ, Woven Capital, NGP Capital, Samsung Next, Hexagon",2026-03-25,"USA (Burlingame, CA)",1Q26,2026,"Satellite-based precision navigation system providing GPS-independent positioning for autonomous vehicles and defence. $170M Series C from Mohari Ventures is strong for PNT (positioning, navigation, timing) market. Competes with traditional GPS and emerging LEO PNT systems. Watch for DoD contracts and autonomous vehicle OEM integration.",https://www.businesswire.com/news/home/20260325413403/en/Xona-Closes-$170M-Series-C
Vulcan Elements,Materials,Rare Earths & Critical Minerals,Series A,65.0,,Altimeter Capital,"One Investment Management, NVIDIA, Uber, Grab, 1789 Capital",2026-03-25,"USA (Durham, NC)",1Q26,2026,"Critical minerals processing company developing novel extraction technology for rare earths. $65M Series A from Altimeter Capital; Durham, NC base suggests proximity to academic research. Competes with MP Materials (MP), Lynas (LYC AU), and Energy Fuels (UUUU). Watch for pilot plant results and DOE/DoD critical minerals programme funding.",https://www.mining.com/us-rare-earth-magnet-startup-raises-65m-to-scale-up-production/
Rebellions,Semiconductors,Fabless Design,Government investment,166.0,,South Korean government,,2026-03-26,South Korea (Seoul),1Q26,2026,"Korean AI chip company developing NPU accelerators for data centre and edge AI. $166M South Korean government investment reflects Korea's semiconductor sovereignty push. Competes with NVIDIA (NVDA), AMD (AMD), and domestic rival FuriosaAI. Rebellions recently merged with FuriosaAI, consolidating Korean AI chip efforts. Watch for merged entity product roadmap and Samsung foundry production.",https://rebellions.ai/news/government-investment
Shield AI,Robotics,Autonomous Systems & Drones,Series G,2000.0,12700.0,"Advent International, JPMorgan Chase","Blackstone ($500M preferred + $250M delayed draw), Snowpoint Ventures, InnovationX, Riot Ventures",2026-03-26,"USA (San Diego, CA)",1Q26,2026,"Defence AI company building autonomous piloting systems for military aircraft. $2B Series G co-led by Advent International and JPMorgan at reportedly $18B+ valuation. Competes with Anduril, Kratos (KTOS), and Boeing (BA) autonomous programmes. One of the most valuable US defence-tech startups. Watch for USAF CCA (collaborative combat aircraft) programme-of-record wins and potential IPO.",https://techstartups.com/2026/03/26/defense-ai-startup-shield-ai-raises-2b-at-12-7b-valuation/
Arkadia Space,Space,Space Components,Grant,16.0,,EIC Fund (EUR 6M equity),"Private investors (EUR 6M), EIC grant (EUR 2.5M)",2026-03-26,Spain (Castellon),1Q26,2026,Spanish startup developing satellite thermal protection and materials technology. €16M grant from EIC Fund (€6M equity component) supports space materials R&D. Competes with traditional aerospace thermal protection providers. Watch for ESA qualification milestones and commercial satellite customer adoption.,https://www.eu-startups.com/2026/03/arkadia-space-lands-e14-5-million-eic-boost/
Torngat Metals,Materials,Rare Earths & Critical Minerals,Debt Financing,120.0,,"Export Development Canada, Canada Infrastructure Bank",,2026-03-26,Canada (Montreal),1Q26,2026,"Canadian rare earth mining company developing the Strange Lake heavy REE deposit in Quebec. $120M debt financing from EDC and Canada Infrastructure Bank for North America's potential largest heavy REE source (dysprosium, terbium). Competes with Lynas (LYC AU) and Chinese rare earth processors. Watch for construction milestones, separation plant at Sept-Iles, and first production.",https://www.mining.com/torngat-secures-120m-for-strange-lake-ree-project-in-canada/
Performance Drone Works,Robotics,Autonomous Systems & Drones,Series B,110.0,,Ondas Holdings,"Hood River, Cedar Pine, Hanwha Ventures, Booz Allen Hamilton",2026-03-26,"USA (Huntsville, AL)",1Q26,2026,"Defence drone company manufacturing NDAA-compliant UAS including C100 and AM-FPV combat drones. $110M Series B led by Ondas Holdings; 90,000 sq ft plant with 100K drones/yr capacity. Competes with AeroVironment (AVAV), Kratos (KTOS), and Skydio. $20.9M Army contract validates defence traction. Watch for US Army programme-of-record expansion and NATO procurement.",https://www.defensedaily.com/pdw-raises-110-million-to-expand-offerings-increase-drone-production/
Physical Intelligence,Robotics,Software & Simulation,Series C,1000.0,11000.0,Founders Fund,"Lightspeed Venture Partners, Thrive Capital, Lux Capital",2026-03-27,"USA (San Francisco, CA)",1Q26,2026,"Foundation model company for robot control, developing vision-language-action (VLA) models ('ChatGPT for robots'). $1B Series C from Founders Fund at $11B valuation — would double valuation in 4 months from $5.6B; $2B total raised since Mar 2024. Competes with Skild AI, Google DeepMind Robotics, and Tesla (TSLA) in generalist robot intelligence. Watch for commercial licensing to robot OEMs and real-world deployment benchmarks.",https://www.bloomberg.com/news/articles/2026-03-27/ex-deepmind-staffers-robotics-startup-in-talks-for-11-billion-valuation
Starcloud,Space,In-Orbit Services,Series A,170,,"Benchmark, EQT Ventures",,2026-03-30,"USA (Redmond, WA)",1Q26,2026,Designing data center spacecraft for Starship deployment; fastest YC company to reach unicorn status ($1.1B valuation).,https://techcrunch.com
Cognichip,Semiconductors,EDA & IP,Series A,60,,Seligman Ventures,Intel CEO Lip-Bu Tan (board member),2026-04-01,"USA (Redwood City, CA)",2Q26,2026,Physics-informed AI for chip design (Artificial Chip Intelligence / ACI). Claims 75% cost reduction and 50% faster development timelines. Total funding $93M.,https://techcrunch.com/2026/04/01/cognichip-wants-ai-to-design-the-chips-that-power-ai-and-just-raised-60m-to-try/
QBoson,Semiconductors,Frontier Compute,Series B,145,,"Beijing Financial Holdings Group, ICBC Capital",State-backed and institutional investors,2026-04-03,China (Beijing),2Q26,2026,"Photonic quantum computing company with 100, 550, and 1000 qubit systems deployed. Building pilot chip production line. Customers include National Supercomputing Center Chengdu and China Mobile.",https://thequantuminsider.com/2026/04/06/chinese-quantum-startup-qboson-raises-145-million-to-scale-chip-production/
Q-Factor,Semiconductors,Frontier Compute,Seed,24,,"NFX, TPY Capital","Intel Capital, Korea Investment Partners, Deep33, Israel Innovation Authority",2026-04-06,Israel (Tel Aviv),2Q26,2026,Neutral atom quantum computing architecture designed to scale from thousands to millions of qubits. Founded by Weizmann Institute and Technion physicists with decades of atomic physics research.,https://siliconangle.com/2026/04/06/q-factor-emerges-24m-funding-next-big-bet-achieve-quantum-computing-advantage/
SiFive,Semiconductors,Fabless Design,Series G,400,3650,Atreides Management,"Apollo Global Management, NVIDIA, Point72 Turion, T. Rowe Price, Prosperity7 Ventures, Sutter Hill Ventures",2026-04-09,USA (San Jose),2Q26,2026,"Leading RISC-V IP provider with 500+ designs and 10B+ cores shipped. Final private round before anticipated IPO, accelerating high-performance RISC-V CPU and AI IP for data centers.",https://www.sifive.com/press/sifive-raises-400-million-to-accelerate-high-performance-risc-v-data-center-solutions
